OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-04-26T08:41:31.341984,13.76560913,.0028372,90.2215,70.5503,87.8048,82.7379,0,U,900,999,6429,.71177E-3,.709E-5,0
CALSPHERE 2,1964-063E,2026-04-25T21:20:25.164960,13.52896128,.00194687,90.2342,74.5393,25.0680,33.4619,0,U,902,999,84919,.1106864E-3,.82E-6,0
LCS 1,1965-034C,2026-04-26T11:18:20.893824,9.89310168,.00132,32.1440,299.8223,298.0413,61.8749,0,U,1361,999,20476,.67538E-3,.14E-6,0
TEMPSAT 1,1965-065E,2026-04-26T12:11:09.029760,13.33591584,.0070603,90.0008,212.5834,35.2675,341.7797,0,U,1512,999,95316,.20182E-4,.19E-6,0
CALSPHERE 4A,1965-065H,2026-04-26T12:04:02.808192,13.36268359,.0067741,89.8963,123.0031,248.8420,266.5553,0,U,1520,999,95580,.22103E-3,.124E-5,0
OPS 5712 (P/L 160),1967-053A,2026-04-26T12:32:46.368960,14.77001997,.0002072,69.9167,164.8523,242.4274,117.6663,0,U,2826,999,5860,.10873E-2,.7607E-4,0
LES-5,1967-066E,2026-04-26T01:52:21.583776,1.09426278,.0054118,2.5030,97.8860,212.2282,20.5349,0,U,2866,999,13046,0,-.124E-5,0
SURCAL 159,1967-053F,2026-04-26T09:58:24.269088,13.99589527,.0007632,69.9717,112.3097,205.1499,154.9237,0,U,2872,999,296,.11329E-3,.112E-5,0
OPS 5712 (P/L 153),1967-053H,2026-04-26T11:49:47.887104,13.96820572,.0010058,69.9743,226.1057,264.4608,95.5351,0,U,2874,999,99956,.42652E-4,.6E-7,0
OPS 3811 (DSP 2),1971-039A,2026-04-26T12:15:17.560224,0.98159186,.0022375,0.2763,28.5959,265.5729,188.2483,0,U,5204,999,20572,0,-.14E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-04-26T11:37:04.454976,14.37810019,.0061721,87.6251,353.1688,45.9045,314.7210,0,U,5398,999,86645,.22301E-3,.705E-5,0
OSCAR 7 (AO-7),1974-089B,2026-04-26T12:39:04.934880,12.53697208,.0011964,101.9930,129.2309,228.5067,253.0721,0,U,7530,999,35404,.11429E-3,-.28E-6,0
STARLETTE,1975-010A,2026-04-26T13:06:12.098304,13.82349668,.0205665,49.8255,308.4313,252.4341,105.3989,0,U,7646,999,58739,.11453E-4,-.126E-5,0
LAGEOS 1,1976-039A,2026-04-26T09:46:07.284000,6.38664741,.0044672,109.8066,161.6180,313.3663,63.4606,0,U,8820,999,90983,0,.6E-7,0
OPS 8701 (DSP 10),1982-019A,2026-04-26T03:35:11.647104,0.98187839,.000421,9.3955,309.6176,326.4242,52.2546,0,U,13086,999,2515,0,-.34E-6,0
PHASE 3B (AO-10),1983-058B,2026-04-26T09:51:20.304288,2.05872084,.6029192,25.8950,228.1938,101.3882,328.0796,0,U,14129,999,29442,0,-.6E-7,0
UOSAT 2 (UO-11),1984-021B,2026-04-26T11:16:01.621344,14.90656710,.0007716,97.8019,82.6397,7.1278,353.0049,0,U,14781,999,24942,.15455E-3,.1459E-4,0
AJISAI (EGS),1986-061A,2026-04-26T11:43:01.299072,12.44515990,.0011424,50.0099,306.3700,49.5633,335.3437,0,U,16908,999,47395,.12727E-3,-.79E-6,0
TDRS 3,1988-091B,2026-04-26T11:37:21.199296,1.00275045,.0040984,12.6414,341.3476,356.1007,2.5300,0,U,19548,999,12486,0,-.312E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-04-26T09:35:17.140416,2.13155948,.0023356,64.9174,73.9655,217.6679,327.5439,0,U,19751,999,29026,0,.3E-7,0
COSMOS 2024 (ETALON 2),1989-039C,2026-04-25T11:28:50.373120,2.13204542,.00205362,64.9670,312.3514,212.8483,133.9818,0,U,20026,999,28737,0,-.21E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-04-25T22:04:40.216224,1.00281093,.0006861,12.4365,351.4799,17.8446,301.2736,0,U,20253,999,26003,0,-.38E-5,0
LUSAT (LO-19),1990-005G,2026-04-26T11:35:40.513920,14.34106451,.0011575,98.8885,136.8557,3.6840,356.4427,0,U,20442,999,89498,.68025E-4,.144E-5,0
HST,1990-037B,2026-04-25T14:02:48.111648,15.30144545,.00016451,28.4745,79.9164,280.6914,79.3497,0,U,20580,999,78050,.20815249E-3,.648E-4,0
SKYNET 4C,1990-079A,2026-04-25T18:54:10.855296,1.00269294,.00026486,13.3573,350.1753,29.7222,150.7967,0,U,20776,999,13036,0,.113E-5,0
USA 65 (DSP 15),1990-095A,2026-04-25T13:19:09.047712,0.98397322,.00042818,14.0365,344.4150,67.1955,300.7313,0,U,20929,999,2495,0,-.142E-5,0
TDRS 5,1991-054B,2026-04-26T09:29:14.466912,1.00270781,.0007976,14.0784,354.1665,285.3627,269.4688,0,U,21639,999,12719,0,.71E-6,0
USA 75 (DSP 16),1991-080B,2026-04-26T07:43:02.873856,0.99186863,.0004114,14.0312,345.8823,73.5145,120.2773,0,U,21805,999,2519,0,-.2E-7,0
LAGEOS 2,1992-070B,2026-04-21T05:19:35.882976,6.47293633,.0137666,52.6637,302.6665,162.3863,358.4565,0,U,22195,999,79173,0,-.9E-7,0
